Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
827fa1bfe485da3fed8e0769fb87cc85e90039333ddc365952b395a48a3ae0a8,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.789634,51.292184,On or near Regiment Close,E01023093,Rushmoor 005B,Investigation complete; no suspect identified
04274cfcc2b8be9cfce543256ac6f0c476ab0789ca0d44d63af85cad533e9d62,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.362246,50.975573,On or near Shopping Area,E01022674,Eastleigh 004E,Investigation complete; no suspect identified
0cc7eca5984fadbb6d614b375ffc524fc310e1d7175a577884d535b92176417e,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.998440,50.870659,On or near Sunwood Road,E01022968,Havant 008C,Investigation complete; no suspect identified
07e942a2a348bfa4a6bffa29442e43cbc5ab590450b39e6371b4a83fef5b3db9,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.500598,51.213775,On or near May Tree Road,E01023179,Test Valley 004A,Investigation complete; no suspect identified
17544bf0a0c3fa4ff020d5a8a79a5654af5718b2ab339d7cee157460ef689977,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.913418,51.001668,On or near Ryefield Close,E01022623,East Hampshire 012D,Investigation complete; no suspect identified
9e0a2d723d331fbe04478e33fa2f4c7a08722290cf9911b8ce19a2c1ae280735,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.178810,50.644783,On or near Blackpan Close,E01017320,Isle of Wight 015B,Investigation complete; no suspect identified
cc69a97cb3f228fa20b6d9b5de2328f07e54f4450aa9ca0a2db61a33eae7c909,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.502688,51.212444,On or near Porters Close,E01023180,Test Valley 005B,Investigation complete; no suspect identified
5e51895bff1970748a5d885990e17e9941e82a626eff2b842b0563b9bf92a847,2023-05,Hampshire Constabulary,Hampshire Constabulary,-0.977260,50.866941,On or near Petersfield Road,E01022903,Havant 008A,Investigation complete; no suspect identified
b2b75a8b5d7bdb5c7319fab793a1ef60b4d4931a892d578d954ee67f07085f16,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.312714,50.888138,On or near Long Lane,E01022658,Eastleigh 013E,Investigation complete; no suspect identified
98beff8acb782c06adcb790b6d3af7a38f7dbc77961807bd808a91ccdb68bfae,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.141252,50.800278,On or near Trafalgar Square,E01022833,Gosport 008C,Investigation complete; no suspect identified
41563d7cef1830da540bae7d78b1eda1d43f5eff0a310dd9ea7fabddce082e11,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.058991,50.827800,On or near Hilsea,E01017048,Portsmouth 008D,Investigation complete; no suspect identified
1cabae7d1dfadef6169713ea613ab09ed95836f865d7b7722ae03c1f1375d928,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.336502,50.899957,On or near Sullivan Road,E01017170,Southampton 027D,Investigation complete; no suspect identified
535a9ffc3ed839813cb924920ce75bf1ef3e77dec13f812547a3ab3a4d1cf660,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.480428,50.706419,On or near Bouldnor Mead,E01017354,Isle of Wight 012E,Unable to prosecute suspect
003c5a896171ff01776f5c0ad933686e6f09c56633ad0d1b9c729fb8fbb072fe,2023-05,Hampshire Constabulary,Hampshire Constabulary,-1.010599,50.939404,On or near Merritt Place,E01022590,East Hampshire 013C,Investigation complete; no suspect identified
